product_title,link,price,currency,pre_reduction,discount
Youth Duramo Sl2,https://www.namshi.com//bahrain-en/buy-adidas-youth-duramo-sl2/Z40664DFE2F96D3BB3DCEZ/p/,18.56,BHD,25.91,-29%
Nike Flex Runner 4,https://www.namshi.com//bahrain-en/buy-nike-nike-flex-runner-4/V9F1C650CFE4069854F1AV/p/,27.2,BHD,,
Kids Adilette Shower Logo,https://www.namshi.com//bahrain-en/buy-adidas-kids-adilette-shower-logo/ZBF275F1DEDBBD569B207Z/p/,9.45,BHD,12.90,-27%
Kids Air Max 270 Bp,https://www.namshi.com//bahrain-en/buy-nike-kids-air-max-270-bp/Z955AF6C9FCE838DC74A5Z/p/,31.87,BHD,48.67,-35%
578 Sports Shoes,https://www.namshi.com//bahrain-en/buy-new-balance-578-sports-shoes/Z729A013F5024B1CCBD82Z/p/,21.52,BHD,,
Kids Rincon 4 Big Kids,https://www.namshi.com//bahrain-en/buy-hoka-kids-rincon-4-big-kids/ZFB30845314589BFB1C98Z/p/,49.51,BHD,,
Kids Adilette Aqua,https://www.namshi.com//bahrain-en/buy-adidas-kids-adilette-aqua/Z6EE0805C28B8D66C3999Z/p/,7.85,BHD,10.73,-27%
Infant Tensaur Run 3.0 El,https://www.namshi.com//bahrain-en/buy-adidas-infant-tensaur-run-3-0-el/ZCAF6051381BB88DF63ECZ/p/,15.25,BHD,20.49,-26%
Kids Grand Court Minnie,https://www.namshi.com//bahrain-en/buy-adidas-kids-grand-court-minnie/V78A35CE8FAD69159F11EV/p/,12.52,BHD,27.00,-54%
Youth Samba Og,https://www.namshi.com//bahrain-en/buy-adidas-originals-youth-samba-og/Z4D2BAB642E33F26021BEZ/p/,46.33,BHD,46.50,-1%
Nike Metro Tek,https://www.namshi.com//bahrain-en/buy-nike-nike-metro-tek/VC6E3E96CEA5E75BAF670V/p/,14.91,BHD,37.83,-61%
Kids Duramo Sl2 El,https://www.namshi.com//bahrain-en/buy-adidas-kids-duramo-sl2-el/VF867A1ABE9914F8545ACV/p/,17.07,BHD,22.66,-25%
Infant Flexfocus Modern Ac+,https://www.namshi.com//bahrain-en/buy-puma-infant-flexfocus-modern-ac/Z33F0D1CE1EA60A9660F7Z/p/,19.24,BHD,,
